Altium Designer Pick and Place Locations
D:\Projects\emb.AIS\P770010Exx\Fabrication\generated\X1\Pick Place\P770010E05-X1-LP-x.txt

========================================================================================================================
File Design Information:

Date:       19.07.21
Time:       08:24
Revision:   Not in VersionControl
Variant:    X1
Units used: mm

Designator Comment                         Layer       Footprint                                  Center-X(mm) Center-Y(mm) Rotation Description                                                                                            
SW700      431256038736                    TopLayer    431256038736                               3.0000       11.9000      270      "tactile switch, THT, right angle, 6x6mm"                                                              
R717       100R                            TopLayer    R0402                                      19.5600      40.5300      360      "thick film resistor, 100R, 1%, 100ppm,  0402"                                                         
R716       12k                             TopLayer    R0402                                      3.7400       11.6900      270      "thick film resistor, 12k, 1%, 100ppm, 0402, 63mW"                                                     
D706       82357050100                     TopLayer    82357x                                     3.7400       13.5300      90       "ESD suppressor, 5VDC, 60Vclamp, 10pF"                                                                 
C711       100n                            TopLayer    C0402                                      24.5650      41.2050      90       "ceramic chip capacitor, 100n, 50V, X7R, 0402"                                                         
SH200      S02-30200250                    TopLayer    S02-30200250_WUERTH_36103305_FEWER_PADS_V2 21.2500      23.8500      0        "shielding cabinet, 30x20x3, 4x S1721-46R or  4x S0981-46R clips required (depending on footprint)!!!" 
C709       100n                            TopLayer    C0402                                      51.6250      49.8000      180      "ceramic chip capacitor, 100n, 50V, X7R, 0402"                                                         
C708       10n                             TopLayer    C0402                                      22.5500      54.5250      180      "ceramic chip capacitor, 10nF, 50V, X7R, 0402"                                                         
R710       1k                              TopLayer    R0402                                      21.1250      54.7000      270      "thick film resistor, 1k, 1%, 100ppm, 0402"                                                            
R607       0R                              TopLayer    R0402                                      29.6750      40.4000      360      "thick film resistor, 0R, 1%, 100ppm, 0402"                                                            
R606       0R                              TopLayer    R0402                                      32.5750      40.5750      180      "thick film resistor, 0R, 1%, 100ppm, 0402"                                                            
C600       4n7                             TopLayer    C0402                                      36.7000      3.2250       360      "ceramic chip capacitor, 4.7nF, 50V, X7R, 0402"                                                        
R601       12k                             TopLayer    R0402                                      36.4750      6.2750       180      "thick film resistor, 12k, 1%, 100ppm, 0402, 63mW"                                                     
J501       5414373-1                       TopLayer    5414373-1_RECE-20279-001E-01               52.1500      7.5850       0        "BNC female jack, DC -4 GHz"                                                                           
U700       STM32F091CCT6                   TopLayer    STM32F091CxTx_LQFP-48                      25.2750      47.1000      180      "ARM Cortex-M0 32bit MCU, 256 kByte Flash, 32 kByte RAM, 48 MHz"                                       
T702       NX138BKW                        TopLayer    NX138BKW_SC-70-3                           40.0250      3.9500       90       "N-Channel Trench MOSFET, 60V, 210 mA"                                                                 
T701       NX138BKW                        TopLayer    NX138BKW_SC-70-3                           42.5500      3.9500       90       "N-Channel Trench MOSFET, 60V, 210 mA"                                                                 
T700       NX138BKW                        TopLayer    NX138BKW_SC-70-3                           45.0750      3.9250       90       "N-Channel Trench MOSFET, 60V, 210 mA"                                                                 
R707       100R                            TopLayer    R0402                                      36.8500      2.1250       360      "thick film resistor, 100R, 1%, 100ppm,  0402"                                                         
